index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
632,從前,2.5,核心詞,51,13,64,ㄘㄨㄥˊ ㄑㄧㄢˊ,cóngqián 
633,袋,2.5,核心詞,18,37,55,ㄉㄞˋ,dài
634,袋子,2.5,核心詞,15,23,38,ㄉㄞˋ ˙ㄗ,dàizi 
635,打算,2.5,核心詞,96,37,133,ㄉㄚˇ ㄙㄨㄢˋ ,dǎsuàn  
636,大樓,2.5,2.日常起居,32,37,69,ㄉㄚˋ ㄌㄡˊ,dàlóu 
637,大門,2.5,2.日常起居,54,12,66,ㄉㄚˋ ㄇㄣˊ,dàmén 
638,大衣,2.5,9.購物、商店,14,2,16,ㄉㄚˋ ㄧ ,dàyī  
639,蛋糕,2.5,10.餐飲、烹飪,19,14,33,ㄉㄢˋ ㄍㄠ,dàngāo 
640,刀子/刀,2.5,10.餐飲、烹飪,99,57,156,ㄉㄠ ˙ㄗ / ㄉㄠ,dāozi/dāo   
641,燈,2.5,核心詞,54,72,126,ㄉㄥ,dēng
642,德文,2.5,8.教育、學習,4,2,6,ㄉㄜˊ ㄨㄣˊ,déwén 
643,點心,2.5,10.餐飲、烹飪,18,13,31,ㄉㄧㄢˇ ㄒㄧㄣ,diǎnxīn 
644,電梯,2.5,2.日常起居,18,10,28,ㄉㄧㄢˋ ㄊㄧ,diàntī 
645,掉,2.5,核心詞,46,146,192,ㄉㄧㄠˋ,diào
